id,car_name,yr_mfr,fuel_type,kms_run,sale_price,city,times_viewed,body_type,transmission,variant,assured_buy,registered_city,registered_state,is_hot,rto,source,make,model,car_availability,total_owners,broker_quote,original_price,car_rating,ad_created_on,fitness_certificate,emi_starts_from,booking_down_pymnt,reserved,warranty_avail
625,hyundai santro xing,2011,petrol,10252,315099,bengaluru,1107,hatchback,manual,gl plus,True,bengaluru,karnataka,True,ka01,inperson_sale,hyundai,santro xing,in_stock,1,297456,,great,2021-03-25T07:11:59.33,True,7319,47265,False,False
626,maruti wagon r 1.0,2011,petrol,6863,320899,bengaluru,9404,hatchback,manual,vxi,True,bengaluru,karnataka,True,ka41,inperson_sale,maruti,wagon r 1.0,in_stock,1,324819,320999.0,great,2021-02-05T12:04:41.709,True,7454,48135,False,False
627,maruti alto k10,2013,petrol,54931,251199,bengaluru,881,hatchback,manual,vxi,True,bangalore k r puram,karnataka,True,ka53,inperson_sale,maruti,alto k10,in_stock,1,250000,251500.0,great,2021-01-12T07:13:42.202,True,5835,37680,False,False
628,maruti celerio,2016,petrol,24432,477899,bengaluru,809,hatchback,automatic,zxi amt,True,bangalore central,karnataka,True,ka01,inperson_sale,maruti,celerio,in_stock,2,484267,485767.0,great,2021-03-22T09:41:01.204,True,11100,71685,False,False
629,honda brio,2013,petrol,23011,363899,bengaluru,6858,hatchback,manual,1.2 s mt i vtec,True,bengaluru,karnataka,True,ka03,inperson_sale,honda,brio,in_stock,2,357500,440765.0,great,2020-11-12T01:30:03.169,True,8452,54585,False,False
630,hyundai i10,2012,petrol,22030,314299,bengaluru,1124,hatchback,manual,era 1.1 irde,True,bangalore k r puram,karnataka,True,ka53,inperson_sale,hyundai,i10,in_stock,1,318862,314399.0,great,2021-02-03T08:34:46.468,True,7300,47145,False,False
631,maruti eeco,2015,petrol,28768,324599,bengaluru,6484,suv,manual,5 str with ac plushtr,True,banglore-cafe dly,karnataka,True,ka03,inperson_sale,maruti,eeco,in_stock,1,329068,330568.0,great,2021-02-05T07:21:13.348,True,7540,48690,False,False
632,maruti alto 800,2013,petrol,14346,289099,bengaluru,665,hatchback,manual,lxi,True,bangalore south,karnataka,True,ka05,inperson_sale,maruti,alto 800,in_stock,1,277963,,great,2021-03-25T05:49:40.648,True,6715,43365,False,False
633,maruti eeco,2010,petrol,57125,260899,bengaluru,2212,suv,manual,5 str with ac plushtr,False,bangalore central,karnataka,True,ka53,inperson_sale,maruti,eeco,in_stock,2,239347,,great,2021-02-14T07:25:19.441,True,6060,39135,False,False
634,maruti celerio,2015,petrol,21715,426699,bengaluru,1565,hatchback,automatic,vxi amt,True,banglore-cafe dly,karnataka,True,ka04,inperson_sale,maruti,celerio,in_stock,1,401713,,great,2021-03-14T11:00:27.352,True,9911,64005,False,False
635,maruti alto 800,2013,petrol,47169,263799,bengaluru,875,hatchback,manual,lxi,False,bengaluru,karnataka,True,ka05,inperson_sale,maruti,alto 800,in_stock,1,229528,,great,2020-11-20T09:44:53.541,True,6127,39570,False,False
636,tata nano,2013,petrol,36275,133399,bengaluru,3673,hatchback,manual,lx,True,electronic city,karnataka,True,ka51,inperson_sale,tata,nano,in_stock,1,125061,,great,2021-03-01T08:13:25.119,True,3099,20010,False,False
637,maruti alto 800,2017,petrol,6202,374799,bengaluru,985,hatchback,manual,vxi,True,bangalore k r puram,karnataka,True,ka53,inperson_sale,maruti,alto 800,in_stock,2,373210,,great,2021-03-21T09:24:22.361,True,8706,56220,False,False
638,maruti alto,2010,petrol,28345,217599,bengaluru,1150,hatchback,manual,lxi,False,bengaluru,karnataka,True,ka04,inperson_sale,maruti,alto,in_stock,1,222694,280328.0,great,2020-12-07T10:34:11.036,True,5054,32640,False,False
639,renault kwid,2016,petrol,8540,356699,bengaluru,2603,hatchback,manual,rxt opt,True,banglore-cafe dly,karnataka,True,ka03,inperson_sale,renault,kwid,in_stock,1,364423,356799.0,great,2021-01-31T07:17:31.054,True,8285,53505,False,False
640,maruti alto,2010,petrol,36141,261999,bengaluru,398,hatchback,manual,lxi,True,bangalore k r puram,karnataka,True,ka53,inperson_sale,maruti,alto,in_stock,1,233246,,good,2021-03-13T05:53:21.925,True,6086,39300,False,False
641,maruti alto 800,2014,petrol,42845,252299,bengaluru,1450,hatchback,manual,lxi,True,bengaluru,karnataka,True,ka04,inperson_sale,maruti,alto 800,in_stock,1,256101,252399.0,great,2021-02-14T12:00:02.268,True,5860,37845,False,False
642,renault kwid,2017,petrol,12375,356499,bengaluru,1372,hatchback,manual,1.0 rxt,True,bengaluru,karnataka,True,ka04,inperson_sale,renault,kwid,in_transit,2,321372,,great,2021-04-14T06:59:49.721,True,8281,53475,False,False
643,maruti alto k10,2016,petrol,28652,395599,bengaluru,483,hatchback,,vxi (o) amt,True,bengaluru,karnataka,True,ka41,inperson_sale,maruti,alto k10,in_stock,2,386415,,great,2021-04-10T06:23:13.227,True,9189,59340,False,False
644,mahindra e2o,2016,electric,5000,366399,bengaluru,3610,hatchback,manual,t2,True,bangalore central,karnataka,True,ka04,inperson_sale,mahindra,e 20,in_transit,1,364257,,great,2021-03-02T08:19:07.033,True,8511,54960,False,False
645,hyundai grand i10,2015,petrol,10755,501099,bengaluru,1143,hatchback,manual,sports 1.2 vtvt,True,bengaluru,karnataka,True,ka51,inperson_sale,hyundai,grand i10,in_stock,1,501108,502608.0,great,2021-03-20T12:42:44.398,True,11639,75165,False,False
646,renault kwid,2016,petrol,27002,371699,bengaluru,959,hatchback,manual,rxt opt,False,chickballapur,karnataka,True,ka40,inperson_sale,renault,kwid,in_stock,1,355968,,great,2021-03-30T11:05:34.067,True,8634,55755,False,False
647,maruti zen estilo,2008,petrol,41579,219799,bengaluru,777,hatchback,manual,vxi,True,bengaluru,karnataka,True,ka03,inperson_sale,maruti,zen estilo,in_stock,1,189761,,good,2021-04-04T07:05:38.496,True,5105,32970,False,False
648,maruti swift,2017,petrol,17942,571499,bengaluru,3160,hatchback,manual,vxi,True,bengaluru,karnataka,True,ka05,inperson_sale,maruti,swift,in_stock,2,575136,697683.0,great,2020-10-25T12:26:22.337,True,13274,85725,False,False
649,hyundai i20,2010,petrol,32707,407399,bengaluru,1356,hatchback,manual,sportz 1.2 o,True,bengaluru,karnataka,True,ka53,inperson_sale,hyundai,i20,in_stock,1,401577,407499.0,great,2021-02-13T08:44:44.493,True,9463,61110,False,False
650,maruti swift,2015,petrol,24449,472399,bengaluru,1357,hatchback,manual,lxi opt,True,electronic city,karnataka,True,ka51,inperson_sale,maruti,swift,in_stock,2,459622,,great,2021-04-04T14:14:48.211,True,10973,70860,False,False
651,maruti wagon r 1.0,2013,petrol,46248,398099,bengaluru,516,hatchback,manual,vxi,True,bengaluru,karnataka,True,ka05,inperson_sale,maruti,wagon r 1.0,in_stock,1,374903,,great,2021-03-18T12:03:24.202,True,9247,59715,False,False
652,maruti alto k10,2012,petrol,36453,300899,bengaluru,81,hatchback,manual,vxi,True,bangalore south,karnataka,True,ka05,inperson_sale,maruti,alto k10,in_stock,1,280644,,great,2021-04-01T06:11:56.483,True,6989,45135,False,False
653,hyundai eon,2017,petrol,27757,339799,bengaluru,964,hatchback,manual,magna plus,True,bengaluru,karnataka,True,ka13,inperson_sale,hyundai,eon,in_stock,1,335930,,great,2021-03-27T06:15:36.228,True,7893,50970,False,False
654,maruti ritz,2012,petrol,32591,390799,bengaluru,823,hatchback,manual,vxi bs iv,True,bengaluru,karnataka,True,ka04,inperson_sale,maruti,ritz,in_stock,1,391945,395899.0,great,2021-02-03T10:56:30.193,True,9077,58620,False,False
655,renault kwid,2017,petrol,28568,416199,bengaluru,872,hatchback,,climber 1.0 at,True,bengaluru,karnataka,True,ka51,inperson_sale,renault,kwid,in_stock,1,415218,416718.0,great,2021-02-28T14:02:01.997,True,9667,62430,False,False
656,maruti swift,2012,petrol,42699,462699,bengaluru,2150,hatchback,manual,vxi,True,bengaluru,karnataka,True,ka05,inperson_sale,maruti,swift,in_stock,2,457955,,great,2021-03-11T12:28:55.477,True,10747,69405,False,False
657,maruti eeco,2019,petrol,15290,476299,bengaluru,1469,suv,manual,7 str,True,bengaluru,karnataka,True,ka03,inperson_sale,maruti,eeco,in_stock,2,467598,,great,2021-04-05T13:57:06.228,True,11063,71445,False,False
658,maruti omni e,2013,petrol,35235,255499,bengaluru,2330,,,std,False,bengaluru,karnataka,True,ka03,inperson_sale,maruti,omni e,in_stock,1,254402,255599.0,great,2021-02-23T06:26:21.702,True,5935,38325,False,False
659,hyundai eon,2017,petrol,11167,355399,bengaluru,1468,hatchback,manual,magna plus,True,bengaluru,karnataka,True,ka51,inperson_sale,hyundai,eon,in_stock,1,355863,,great,2021-03-06T05:37:21.913,True,8255,53310,False,False
660,maruti eeco,2013,petrol,18428,340699,bengaluru,748,suv,manual,5 str with ac plushtr,True,bengaluru,karnataka,True,ka04,inperson_sale,maruti,eeco,in_transit,1,309494,351199.0,great,2021-03-29T10:19:49.233,True,7914,51105,False,False
661,maruti alto k10,2011,petrol,46155,224099,bengaluru,2345,hatchback,manual,lxi,True,bengaluru,karnataka,True,ka03,inperson_sale,maruti,alto k10,in_stock,1,216900,273451.0,great,2020-11-26T13:59:52.636,True,5205,33615,False,False
662,hyundai i10,2010,petrol,25571,370199,bengaluru,333,hatchback,manual,magna 1.2 kappa2,True,bangalore central,karnataka,True,ka01,inperson_sale,hyundai,i10,in_transit,1,316584,,good,2021-03-30T10:22:06.978,True,8599,55530,False,False
663,hyundai i10,2015,petrol,17835,389399,bengaluru,4693,hatchback,manual,sportz 1.1 irde2,True,bangalore south,karnataka,True,ka05,inperson_sale,hyundai,i10,in_stock,2,383500,471705.0,great,2020-12-13T10:18:24.38,True,9045,58410,False,False
664,honda jazz,2016,petrol,28762,576099,bengaluru,2725,hatchback,manual,1.2 v mt,True,bangalore south,karnataka,True,ka05,inperson_sale,honda,jazz,in_stock,1,587075,588575.0,great,2021-03-19T13:10:46.198,True,13381,86415,False,False
665,maruti alto,2012,petrol,10260,254999,bengaluru,1232,hatchback,manual,lxi,False,bangalore k r puram,karnataka,True,ka53,inperson_sale,maruti,alto,in_stock,1,256900,321051.0,great,2020-12-10T13:13:50.59,True,5923,38250,False,False
666,hyundai eon,2015,petrol,22017,322799,bengaluru,882,hatchback,manual,magna plus,False,bangalore k r puram,karnataka,True,ka53,inperson_sale,hyundai,eon,in_stock,1,310868,,great,2021-03-06T12:52:13.841,True,7498,48420,False,False
667,hyundai i10,2012,petrol,41889,368299,bengaluru,1510,hatchback,automatic,sportz 1.2 at kappa2,True,bengaluru,karnataka,True,ka03,inperson_sale,hyundai,i10,in_stock,2,371547,368399.0,great,2021-02-16T05:27:39.728,True,8555,55245,False,False
668,tata indica vista,2012,diesel,59345,321999,bengaluru,2136,hatchback,manual,vx quadrajet,True,bengaluru,karnataka,True,ka41,inperson_sale,tata,indica vista,in_stock,1,319541,322099.0,great,2021-02-02T13:04:39.142,True,7479,48300,False,False
669,hyundai eon,2014,petrol,32866,293399,bengaluru,1470,hatchback,manual,magna plus,True,electronic city,karnataka,True,ka51,inperson_sale,hyundai,eon,in_stock,1,286719,293499.0,great,2021-02-12T05:40:51.068,True,6815,44010,False,False
670,maruti ritz,2010,petrol,38191,400299,bengaluru,477,hatchback,manual,vxi bs iv,True,bangalore central,karnataka,True,ka41,inperson_sale,maruti,ritz,in_stock,1,358996,,good,2021-03-06T14:05:40.308,True,9298,60045,False,False
671,maruti swift,2012,petrol,32292,457099,bengaluru,1560,hatchback,manual,vxi,True,bengaluru,karnataka,True,ka41,inperson_sale,maruti,swift,in_stock,1,461881,463381.0,great,2021-02-15T06:07:34.45,True,10617,68565,False,False
672,maruti wagon r 1.0,2010,petrol,22696,351299,bengaluru,557,hatchback,manual,vxi,True,bangalore south,karnataka,True,ka05,inperson_sale,maruti,wagon r 1.0,in_stock,1,340623,,great,2021-03-23T06:20:01.242,True,8160,52695,False,False
673,maruti alto 800,2016,petrol,23598,310299,bengaluru,976,hatchback,manual,vxi,True,bangalore central,karnataka,True,ka01,inperson_sale,maruti,alto 800,in_stock,1,315862,391204.0,great,2020-12-06T18:00:09.922,True,7207,46545,False,False
674,hyundai i10,2009,petrol,35925,326299,bengaluru,449,hatchback,manual,sportz 1.2,True,bangalore south,karnataka,True,ka05,inperson_sale,hyundai,i10,in_stock,1,310000,384240.0,great,2021-01-06T05:57:47.394,True,7579,48945,False,False
675,maruti swift dzire,2013,petrol,20587,511399,bengaluru,1356,sedan,manual,zxi 1.2 bs iv,False,bengaluru,karnataka,True,ka53,inperson_sale,maruti,swift dzire,in_stock,2,515882,517382.0,great,2021-03-22T13:58:13.438,True,11879,76710,False,False
676,hyundai i20,2012,diesel,34182,368899,bengaluru,4714,hatchback,manual,magna 1.4 crdi,False,bangalore central,karnataka,True,ka01,inperson_sale,hyundai,i20,in_stock,3,353614,,great,2021-03-17T12:48:28.72,True,8569,55335,False,False
677,hyundai i10,2013,petrol,38726,364999,bengaluru,766,hatchback,manual,magna 1.2 kappa2,True,bengaluru,karnataka,True,ka03,inperson_sale,hyundai,i10,in_stock,1,345860,,great,2021-04-05T06:14:35.987,True,8478,54750,False,False
678,renault kwid,2017,petrol,24651,334999,bengaluru,1340,hatchback,manual,1.0 rxt,True,bangalore central,karnataka,True,ka01,inperson_sale,renault,kwid,in_stock,1,340000,341500.0,great,2021-03-15T07:46:27.79,True,7781,50250,False,False
679,maruti wagon r 1.0,2013,petrol,17291,354699,bengaluru,2623,hatchback,manual,vxi,True,bangalore south,karnataka,True,ka05,inperson_sale,maruti,wagon r 1.0,in_stock,1,361992,354799.0,great,2021-02-03T10:39:07.593,True,8239,53205,False,False
680,maruti alto,2009,petrol,428123,205699,bengaluru,652,hatchback,manual,lxi,True,bangalore k r puram,karnataka,True,ka03,inperson_sale,maruti,alto,in_stock,2,204730,205799.0,great,2021-02-14T11:54:26.97,True,4778,30855,False,False
681,renault kwid,2017,petrol,11194,408299,bengaluru,1609,hatchback,,rxt 1.0 easy-r  at,True,bengaluru,karnataka,True,ka50,inperson_sale,renault,kwid,in_stock,1,403863,490209.0,great,2020-10-27T06:07:36.946,True,9484,61245,False,False
682,hyundai i10,2011,petrol,33686,337099,bengaluru,547,hatchback,manual,sportz 1.2 kappa2,False,electronic city,karnataka,True,ka51,inperson_sale,hyundai,i10,in_stock,3,334826,337199.0,great,2021-02-07T11:46:58.845,True,7830,50565,False,False
683,maruti alto k10,2014,petrol,32647,374199,bengaluru,371,hatchback,manual,vxi,False,bengaluru,karnataka,True,ka02,inperson_sale,maruti,alto k10,in_stock,1,350462,,great,2021-03-18T08:01:32.02,True,8692,56130,False,False
684,maruti wagon r 1.0,2016,petrol,23213,439099,bengaluru,535,hatchback,manual,vxi,True,electronic city,karnataka,True,ka51,inperson_sale,maruti,wagon r 1.0,in_stock,1,446390,447890.0,great,2021-03-03T09:50:55.84,True,10199,65865,False,False
685,hyundai eon,2014,petrol,25857,324499,bengaluru,507,hatchback,manual,magna plus,True,electronic city,karnataka,True,ka51,inperson_sale,hyundai,eon,in_stock,1,313617,,great,2021-03-07T06:06:30.05,True,7537,48675,False,False
686,hyundai grand i10,2016,petrol,34448,443299,bengaluru,1635,hatchback,manual,magna 1.2 vtvt,False,kolar,karnataka,True,ka50,inperson_sale,hyundai,grand i10,in_stock,2,444623,446123.0,great,2021-02-18T06:19:53.561,True,10297,66495,False,False
687,maruti celerio,2018,petrol,10044,514599,bengaluru,1331,hatchback,automatic,zxi opt amt,True,banglore-cafe dly,karnataka,True,ka03,inperson_sale,maruti,celerio,in_stock,1,520430,521930.0,great,2021-02-24T13:33:21.358,True,11953,77190,False,False
688,toyota etios liva,2011,petrol,34888,422299,bengaluru,345,hatchback,manual,g,False,bengaluru,karnataka,True,ka04,inperson_sale,toyota,etios liva,in_stock,1,355892,,great,2021-04-14T10:29:18.742,True,9809,63345,False,False
689,hyundai i10,2013,petrol,20524,405999,bengaluru,604,hatchback,manual,sportz 1.2 kappa2,True,bengaluru,karnataka,True,ka02,inperson_sale,hyundai,i10,in_stock,1,397000,,great,2020-12-11T11:52:42.988,True,9430,60900,False,False
690,maruti celerio,2015,petrol,25908,410899,bengaluru,880,hatchback,automatic,vxi amt,True,electronic city,karnataka,True,ka51,inperson_sale,maruti,celerio,in_stock,1,408578,,great,2021-03-20T15:33:33.219,True,9544,61635,False,False
691,maruti swift dzire,2015,petrol,46783,445999,bengaluru,3207,sedan,manual,lxi 1.2 bs iv,True,bangalore central,karnataka,True,ka01,inperson_sale,maruti,swift dzire,in_stock,1,446142,446099.0,great,2021-02-12T07:39:07.263,True,10359,66900,False,False
692,maruti celerio,2015,petrol,38701,408899,bengaluru,935,hatchback,automatic,vxi amt,True,bengaluru,karnataka,True,ka41,inperson_sale,maruti,celerio,in_stock,1,405798,408999.0,great,2021-02-26T05:43:27.699,True,9498,61335,False,False
693,maruti celerio,2015,petrol,55157,402199,bengaluru,1558,hatchback,automatic,vxi amt,True,bengaluru,karnataka,True,ka02,inperson_sale,maruti,celerio,in_stock,1,402600,488742.0,great,2020-11-03T14:28:58.202,True,9342,60330,False,False
694,maruti swift,2018,petrol,12731,643099,bengaluru,2454,hatchback,manual,vxi,True,bengaluru,karnataka,True,ka05,inperson_sale,maruti,swift,in_stock,1,653890,655390.0,great,2021-03-13T05:57:28.721,True,14938,96465,False,False
695,hyundai grand i10,2015,petrol,44013,472299,bengaluru,731,hatchback,manual,sports 1.2 vtvt,False,bengaluru,karnataka,True,ka03,inperson_sale,hyundai,grand i10,in_stock,1,459098,,great,2021-03-15T06:14:03.124,True,10970,70845,False,False
696,maruti alto k10,2014,petrol,39824,301199,bengaluru,728,hatchback,manual,vxi,True,bengaluru,karnataka,True,ka03,inperson_sale,maruti,alto k10,in_stock,2,302700,375553.0,great,2020-11-17T12:51:25.873,True,6996,45180,False,False
697,maruti alto,2020,petrol,3175,392599,bengaluru,2232,hatchback,manual,vxi,True,electronic city,karnataka,True,ka51,inperson_sale,maruti,alto,in_stock,1,393456,394956.0,great,2021-03-31T09:08:30.208,True,9119,58890,False,False
698,hyundai santro xing,2008,petrol,57944,186399,bengaluru,3289,hatchback,manual,gls,True,bangalore south,karnataka,True,ka05,inperson_sale,hyundai,santro xing,in_stock,1,180135,228576.0,great,2021-01-12T11:20:30.689,True,4330,27960,False,False
699,maruti celerio,2015,petrol,23775,391599,bengaluru,1391,hatchback,automatic,vxi amt,True,bangalore central,karnataka,True,ka01,inperson_sale,maruti,celerio,in_stock,2,395461,391699.0,great,2021-02-18T11:19:04.915,True,9096,58740,False,False
700,hyundai i20,2012,petrol,38630,429799,bengaluru,1820,hatchback,manual,sportz 1.2 vtvt,True,bengaluru,karnataka,True,ka51,inperson_sale,hyundai,i20,in_stock,1,393900,,great,2021-03-29T11:26:33.829,True,9983,64470,False,False
701,toyota etios,2012,petrol,30224,419199,bengaluru,6468,sedan,manual,g,False,bengaluru,karnataka,True,ka02,inperson_sale,toyota,etios,in_stock,2,365992,,great,2021-04-12T07:03:04.287,True,9737,62880,False,False
702,honda city,2011,petrol,34963,457499,bengaluru,2406,sedan,manual,s mt petrol,True,electronic city,karnataka,True,ka51,inperson_sale,honda,city,in_stock,2,442902,457599.0,great,2021-01-29T09:33:25.92,True,10627,68625,False,False
703,maruti alto k10,2015,petrol,26140,319099,bengaluru,673,hatchback,manual,vxi,True,bengaluru,karnataka,True,ka04,inperson_sale,maruti,alto k10,in_stock,2,309443,,great,2021-03-06T12:59:34.134,True,7412,47865,False,False
704,renault kwid,2017,petrol,22422,354999,bengaluru,783,hatchback,manual,1.0 rxl,True,electronic city,karnataka,True,ka51,inperson_sale,renault,kwid,in_stock,1,348243,,great,2021-03-18T09:07:58.655,True,8246,53250,False,False
705,hyundai grand i10,2017,petrol,21549,491599,bengaluru,3252,hatchback,manual,magna 1.2 kappa vtvt,True,bengaluru,karnataka,True,ka02,inperson_sale,hyundai,grand i10,in_stock,1,492122,493622.0,great,2021-03-01T13:17:23.906,True,11419,73740,False,False
706,maruti swift dzire,2009,petrol,63584,274599,bengaluru,2667,sedan,manual,vxi 1.3,False,bangalore central,karnataka,True,ka53,inperson_sale,maruti,swift dzire,in_stock,3,245167,,great,2021-02-21T05:32:26.678,True,6378,41190,False,False
707,maruti alto k10,2011,petrol,62717,221299,bengaluru,888,hatchback,manual,vxi,True,bengaluru,karnataka,True,ka02,inperson_sale,maruti,alto k10,in_stock,2,208710,263703.0,great,2020-12-21T12:21:13.143,True,5140,33195,False,False
708,tata nano,2015,petrol,29556,236099,bengaluru,854,hatchback,automatic,twist xta,True,bengaluru,karnataka,True,ka03,inperson_sale,tata,nano,in_stock,2,226713,,great,2021-03-06T10:41:35.182,True,5484,35415,False,False
709,maruti alto,2012,petrol,25985,304199,bengaluru,393,hatchback,manual,lxi,True,bangalore south,karnataka,True,ka05,inperson_sale,maruti,alto,in_stock,1,278576,,great,2021-04-09T12:43:50.133,True,7066,45630,False,False
710,toyota etios,2011,petrol,16438,383499,bengaluru,3878,sedan,manual,g,False,banglore-cafe dly,karnataka,True,ka04,inperson_sale,toyota,etios,in_stock,1,375917,,great,2021-03-22T08:54:51.325,True,8908,57525,False,False
711,maruti alto 800,2012,petrol,24679,257799,bengaluru,659,hatchback,manual,lxi,True,bengaluru,karnataka,True,ka03,inperson_sale,maruti,alto 800,in_stock,3,240000,300940.0,great,2021-01-16T13:22:19.957,True,5988,38670,False,False
712,maruti wagon r 1.0,2014,petrol,27274,416899,bengaluru,385,hatchback,manual,vxi,False,bangalore central,karnataka,True,ka01,inperson_sale,maruti,wagon r 1.0,in_stock,1,410892,,great,2021-04-02T10:44:03.2,True,9684,62535,False,False
713,hyundai i20,2010,petrol,19693,442899,bengaluru,1331,hatchback,manual,asta 1.2 o with sunroof,True,bangalore south,karnataka,True,ka05,inperson_sale,hyundai,i20,in_transit,2,382015,,good,2021-04-02T05:37:08.589,True,10287,66435,False,False
714,hyundai elite i20,2018,petrol,11156,731099,bengaluru,1642,hatchback,manual,asta 1.2,True,bangalore south,karnataka,True,ka41,inperson_sale,hyundai,elite i20,in_stock,1,758685,760185.0,great,2021-04-18T09:18:19.652,True,16982,109665,False,False
715,maruti swift,2011,diesel,74130,361099,bengaluru,3169,hatchback,manual,vdi,True,banglore-cafe dly,karnataka,True,ka03,inperson_sale,maruti,swift,in_stock,3,349648,361199.0,great,2021-02-11T12:58:44.027,True,8387,54165,False,False
716,hyundai i10,2009,petrol,38304,294599,bengaluru,647,hatchback,manual,sportz 1.2,True,bengaluru,karnataka,True,ka04,inperson_sale,hyundai,i10,in_stock,1,293459,294699.0,great,2021-02-04T13:37:04.082,True,6843,44190,False,False
717,maruti alto k10,2012,petrol,67346,266599,bengaluru,648,hatchback,manual,vxi,True,bengaluru,karnataka,True,ka53,inperson_sale,maruti,alto k10,in_stock,1,262125,266699.0,great,2021-02-07T10:06:15.967,True,6192,39990,False,False
718,maruti swift dzire,2013,petrol,23279,491999,bengaluru,734,sedan,manual,vxi 1.2 bs iv,True,bengaluru,karnataka,True,ka01,inperson_sale,maruti,swift dzire,in_stock,1,488139,,great,2021-03-08T09:51:40.647,True,11428,73800,False,False
719,hyundai eon,2014,petrol,30303,331899,bengaluru,379,hatchback,manual,magna plus,True,bengaluru,karnataka,True,ka02,inperson_sale,hyundai,eon,in_stock,1,318113,,great,2021-03-12T10:07:34.617,True,7709,49785,False,False
720,maruti celerio,2014,petrol,35366,410999,bengaluru,459,hatchback,automatic,vxi amt,True,bengaluru,karnataka,True,ka51,inperson_sale,maruti,celerio,in_stock,2,389067,,great,2021-03-21T12:48:24.68,True,9546,61650,False,False
721,maruti wagon r 1.0,2016,petrol,27428,432999,bengaluru,420,hatchback,manual,vxi,True,bengaluru,karnataka,True,ka04,inperson_sale,maruti,wagon r 1.0,in_stock,2,424799,,great,2021-03-05T06:10:57.337,True,10057,64950,False,False
722,maruti wagon r 1.0,2011,petrol,33891,321599,bengaluru,494,hatchback,manual,vxi,True,bangalore central,karnataka,True,ka03,inperson_sale,maruti,wagon r 1.0,in_stock,1,298203,370201.0,great,2020-12-12T08:15:41.061,True,7470,48240,False,False
723,maruti wagon r 1.0,2011,petrol,58519,307999,bengaluru,568,hatchback,manual,vxi,True,bangalore k r puram,karnataka,True,ka53,inperson_sale,maruti,wagon r 1.0,in_stock,1,311318,308099.0,great,2021-02-07T06:22:19.101,True,7154,46200,False,False
724,renault kwid,2018,petrol,14176,438499,bengaluru,555,hatchback,,rxt 1.0 easy-r  at,True,bangalore central,karnataka,True,ka01,inperson_sale,renault,kwid,in_stock,1,432177,,great,2021-03-19T10:37:08.122,True,10185,65775,True,False
725,maruti alto 800,2015,petrol,21980,319099,bengaluru,533,hatchback,manual,lxi,True,bengaluru,karnataka,True,ka02,inperson_sale,maruti,alto 800,in_stock,1,318366,319866.0,great,2021-03-02T10:18:11.573,True,7412,47865,False,False
726,maruti wagon r 1.0,2011,petrol,63460,318399,bengaluru,544,hatchback,manual,vxi,True,bengaluru,karnataka,True,ka03,inperson_sale,maruti,wagon r 1.0,in_stock,1,318462,318499.0,great,2021-02-03T08:31:22.115,True,7396,47760,False,False
727,honda brio,2012,petrol,30556,360999,bengaluru,35414,hatchback,manual,1.2 s mt i vtec,False,bengaluru,karnataka,True,ka04,inperson_sale,honda,brio,in_stock,2,343685,,great,2021-03-17T09:13:52.255,True,8385,54150,False,False
728,maruti alto,2019,petrol,13217,353199,bengaluru,1253,hatchback,manual,lxi,True,bangalore k r puram,karnataka,True,ka53,inperson_sale,maruti,alto,in_stock,1,350000,431840.0,great,2020-12-08T21:30:01.839,True,8204,52980,False,False
729,hyundai eon,2011,petrol,27318,281699,bengaluru,1165,hatchback,manual,magna,True,bengaluru,karnataka,True,ka01,inperson_sale,hyundai,eon,in_stock,1,243281,,good,2021-03-21T05:24:57.263,True,6543,42255,False,False
730,hyundai i10,2013,petrol,59237,420699,bengaluru,565,hatchback,automatic,sportz 1.2 at kappa2,True,bengaluru,karnataka,True,ka53,inperson_sale,hyundai,i10,in_stock,1,413319,,great,2021-03-11T14:18:17.217,True,9772,63105,False,False
731,maruti celerio,2015,petrol,32958,429099,bengaluru,517,hatchback,automatic,vxi amt,True,bengaluru,karnataka,True,ka04,inperson_sale,maruti,celerio,in_stock,1,406672,,great,2021-03-04T15:02:03.619,True,9967,64365,False,False
732,hyundai i20,2011,petrol,35585,411999,bengaluru,754,hatchback,manual,magna o 1.2,True,bengaluru,karnataka,True,ka41,inperson_sale,hyundai,i20,in_stock,1,401835,,great,2021-02-28T07:44:40.369,True,9570,61800,False,False
733,maruti a star,2012,petrol,27067,343999,bengaluru,785,hatchback,automatic,vxi abs at,True,bengaluru,karnataka,True,ka04,inperson_sale,maruti,a star,in_stock,1,324209,,great,2021-03-22T12:15:34.597,True,7990,51600,False,False
734,maruti swift,2010,petrol,68339,350499,bengaluru,970,hatchback,manual,vxi,True,bangalore central,karnataka,True,ka03,inperson_sale,maruti,swift,in_stock,2,329278,,great,2021-03-25T05:54:02.209,True,8141,52575,False,False
735,maruti swift dzire,2014,petrol,3813,538899,bengaluru,1721,sedan,manual,vxi 1.2 bs iv,True,bengaluru,karnataka,True,ka50,inperson_sale,maruti,swift dzire,in_stock,1,540000,656580.0,great,2021-01-24T10:51:53.785,True,12517,80835,False,False
736,hyundai i10,2010,petrol,48371,317299,bengaluru,568,hatchback,manual,sportz 1.2,False,bengaluru,karnataka,True,ka05,inperson_sale,hyundai,i10,in_stock,1,249200,,great,2021-02-28T09:28:37.33,True,7370,47595,False,False
737,maruti swift,2015,petrol,24740,501299,bengaluru,1498,hatchback,manual,vxi,False,bengaluru,karnataka,True,ka01,inperson_sale,maruti,swift,in_stock,1,505000,501399.0,great,2020-12-18T20:00:14.343,True,11644,75195,False,False
